ZONE_ID;ZONE_CODE;COUNTRY_ID
1;"Guipuzcoa";79
2;"HI";91
3;"PR";91
4;"Zamora";79
5;"Vizcaya";79
6;"Albacete";79
7;"Lleida";79
8;"QC";13
9;"NRW";30
10;"IA";91
11;"ID";91
12;"YT";13
13;"Leon";79
14;"ACorua";79
15;"Castellon";79
16;"LasPalmas";79
17;"Pontevedra";79
18;"AA";91
19;"Teruel";79
20;"AB";13
21;"AC";91
22;"IL";91
23;"AE";91
24;"AF";91
25;"IN";91
26;"AG";82
27;"A Corua";79
28;"AI";82
29;"AK";91
30;"Caceres";79
31;"Segovia";79
32;"AL";91
33;"AM";91
34;"ZG";82
35;"Malaga";79
36;"ZH";82
37;"LaRioja";79
38;"AP";91
39;"Melilla";79
40;"AR";91
41;"AS";91
42;"NSW";4
43;"Madrid";79
44;"RI";91
45;"AZ";91
46;"Ceuta";79
47;"BC";13
48;"Huelva";79
49;"BE";82
50;"Huesca";79
51;"ARCH";82
52;"BL";82
53;"JU";82
54;"Asturias";79
55;"SA";4
56;"SB";5
57;"TIAT";5
58;"SC";91
59;"THE";30
60;"SD";91
61;"BS";82
62;"Cordoba";79
63;"Tarragona";79
64;"Valladolid";79
65;"SG";82
66;"SH";82
67;"WAAU";4
68;"SK";13
69;"NDS";30
70;"SO";82
71;"CA";91
72;"NTAU";4
73;"ST";5
74;"KN";5
75;"Jaen";79
76;"CiudadReal";79
77;"SZ";82
78;"Alava";79
79;"KS";91
80;"CO";91
81;"KY";91
82;"BER";30
83;"CT";91
84;"ACT";4
85;"TG";82
86;"LA";91
87;"HAM";30
88;"TI";82
89;"Lugo";79
90;"NECH";82
91;"TN";91
92;"Toledo";79
93;"DC";91
94;"Palencia";79
95;"DE";91
96;"TX";91
97;"TAS";4
98;"QLD";4
99;"LU";82
100;"Burgos";79
101;"Cadiz";79
102;"SantaCruzdeTenerife";79
103;"MA";91
104;"MB";13
105;"MD";91
106;"Girona";79
107;"ME";91
108;"Alicante";79
109;"Guadalajara";79
110;"Cantabria";79
111;"MH";91
112;"MI";91
113;"UR";82
114;"UT";91
115;"MN";91
116;"MO";91
117;"MP";91
118;"Barcelona";79
119;"MS";91
120;"MT";91
121;"Badajoz";79
122;"MEC";30
123;"VA";91
124;"VB";5
125;"Cuenca";79
126;"WIAT";5
127;"VD";82
128;"Sevilla";79
129;"VI";91
130;"Zaragoza";79
131;"NB";13
132;"SAC";30
133;"NC";91
134;"ND";91
135;"NE";91
136;"NF";13
137;"NH";91
138;"NJ";91
139;"VS";82
140;"VT";91
141;"NM";91
142;"NO";5
143;"SAS";30
144;"NS";13
145;"SAR";30
146;"FL";91
147;"NT";13
148;"FM";91
149;"NU";13
150;"NV";91
151;"NW";82
152;"WA";91
153;"NY";91
154;"Granada";79
155;"Soria";79
156;"FR";82
157;"RHE";30
158;"Ourense";79
159;"WI";91
160;"OH";91
161;"GA";91
162;"Murcia";79
163;"OK";91
164;"GE";82
165;"WV";91
166;"ON";13
167;"OO";5
168;"WY";91
169;"BLAT";5
170;"Avila";79
171;"OR";91
172;"Salamanca";79
173;"GL";82
174;"Baleares";79
175;"OW";82
176;"GR";82
177;"GU";91
178;"PA";91
179;"VIC";4
180;"BRE";30
181;"PE";13
182;"BRG";30
183;"HES";30
184;"Almeria";79
185;"BAW";30
186;"BAY";30
187;"Navarra";79
188;"Valencia";79
189;"SCN";30
