CURRENCY_ID;"CURRENCY_CODE";"CURRENCY_CURRENCY_CODE";"CURRENCY_NAME";CURRENCY_SUPPORTED
1;"FJD";"FJD";"FJD";1
2;"MXN";"MXN";"MXN";1
3;"STD";"STD";"STD";1
4;"LVL";"LVL";"LVL";1
5;"SCR";"SCR";"SCR";1
6;"CDF";"CDF";"CDF";1
7;"BBD";"BBD";"BBD";1
8;"GTQ";"GTQ";"GTQ";1
9;"CLP";"CLP";"CLP";1
10;"HNL";"HNL";"HNL";1
11;"UGX";"UGX";"UGX";1
12;"ZAR";"ZAR";"ZAR";1
13;"MXV";"MXV";"MXV";1
14;"TND";"TND";"TND";1
15;"BSD";"BSD";"BSD";1
16;"SLL";"SLL";"SLL";1
17;"SDG";"SDG";"SDG";1
18;"IQD";"IQD";"IQD";1
19;"CUP";"CUP";"CUP";1
20;"GMD";"GMD";"GMD";1
21;"TWD";"TWD";"TWD";1
22;"RSD";"RSD";"RSD";1
23;"DOP";"DOP";"DOP";1
24;"KMF";"KMF";"KMF";1
25;"MYR";"MYR";"MYR";1
26;"FKP";"FKP";"FKP";1
27;"XOF";"XOF";"XOF";1
28;"GEL";"GEL";"GEL";1
29;"UYU";"UYU";"UYU";1
30;"MAD";"MAD";"MAD";1
31;"CVE";"CVE";"CVE";1
32;"AZN";"AZN";"AZN";1
33;"OMR";"OMR";"OMR";1
34;"PGK";"PGK";"PGK";1
35;"KES";"KES";"KES";1
36;"SEK";"SEK";"SEK";1
37;"BTN";"BTN";"BTN";1
38;"UAH";"UAH";"UAH";1
39;"GNF";"GNF";"GNF";1
40;"ERN";"ERN";"ERN";1
41;"MZN";"MZN";"MZN";1
42;"SVC";"SVC";"SVC";1
43;"ARS";"ARS";"ARS";1
44;"QAR";"QAR";"QAR";1
45;"IRR";"IRR";"IRR";1
46;"MRO";"MRO";"MRO";1
47;"CNY";"CNY";"CNY";1
48;"XPF";"XPF";"XPF";1
49;"THB";"THB";"THB";1
50;"UZS";"UZS";"UZS";1
51;"BDT";"BDT";"BDT";1
52;"LYD";"LYD";"LYD";1
53;"BMD";"BMD";"BMD";1
54;"KWD";"KWD";"KWD";1
55;"PHP";"PHP";"PHP";1
56;"RUB";"RUB";"RUB";1
57;"PYG";"PYG";"PYG";1
58;"ISK";"ISK";"ISK";1
59;"JMD";"JMD";"JMD";1
60;"COP";"COP";"COP";1
61;"USD";"USD";"USD";1
62;"MKD";"MKD";"MKD";1
63;"DZD";"DZD";"DZD";1
64;"PAB";"PAB";"PAB";1
65;"SGD";"SGD";"SGD";1
66;"ETB";"ETB";"ETB";1
67;"KGS";"KGS";"KGS";1
68;"SOS";"SOS";"SOS";1
69;"VUV";"VUV";"VUV";1
70;"VEF";"VEF";"VEF";1
71;"LAK";"LAK";"LAK";1
72;"BND";"BND";"BND";1
73;"ZMK";"ZMK";"ZMK";1
74;"XAF";"XAF";"XAF";1
75;"LRD";"LRD";"LRD";1
76;"HRK";"HRK";"HRK";1
77;"CHF";"CHF";"CHF";1
78;"ALL";"ALL";"ALL";1
79;"DJF";"DJF";"DJF";1
80;"TZS";"TZS";"TZS";1
81;"VND";"VND";"VND";1
82;"AUD";"AUD";"AUD";1
83;"ILS";"ILS";"ILS";1
84;"GHS";"GHS";"GHS";1
85;"GYD";"GYD";"GYD";1
86;"KPW";"KPW";"KPW";1
87;"BOB";"BOB";"BOB";1
88;"KHR";"KHR";"KHR";1
89;"MDL";"MDL";"MDL";1
90;"IDR";"IDR";"IDR";1
91;"KYD";"KYD";"KYD";1
92;"AMD";"AMD";"AMD";1
93;"BWP";"BWP";"BWP";1
94;"SHP";"SHP";"SHP";1
95;"TRY";"TRY";"TRY";1
96;"LBP";"LBP";"LBP";1
97;"TJS";"TJS";"TJS";1
98;"JOD";"JOD";"JOD";1
99;"HKD";"HKD";"HKD";1
100;"RWF";"RWF";"RWF";1
101;"AED";"AED";"AED";1
102;"EUR";"EUR";"EUR";1
103;"LSL";"LSL";"LSL";1
104;"DKK";"DKK";"DKK";1
105;"CAD";"CAD";"CAD";1
106;"BOV";"BOV";"BOV";1
107;"BGN";"BGN";"BGN";1
108;"MMK";"MMK";"MMK";1
109;"NOK";"NOK";"NOK";1
110;"MUR";"MUR";"MUR";1
111;"SYP";"SYP";"SYP";1
112;"GIP";"GIP";"GIP";1
113;"RON";"RON";"RON";1
114;"LKR";"LKR";"LKR";1
115;"NGN";"NGN";"NGN";1
116;"CRC";"CRC";"CRC";1
117;"CZK";"CZK";"CZK";1
118;"PKR";"PKR";"PKR";1
119;"XCD";"XCD";"XCD";1
120;"ANG";"ANG";"ANG";1
121;"HTG";"HTG";"HTG";1
122;"BHD";"BHD";"BHD";1
123;"KZT";"KZT";"KZT";1
124;"SRD";"SRD";"SRD";1
125;"SZL";"SZL";"SZL";1
126;"LTL";"LTL";"LTL";1
127;"SAR";"SAR";"SAR";1
128;"TTD";"TTD";"TTD";1
129;"YER";"YER";"YER";1
130;"MVR";"MVR";"MVR";1
131;"AFN";"AFN";"AFN";1
132;"INR";"INR";"INR";1
133;"AWG";"AWG";"AWG";1
134;"KRW";"KRW";"KRW";1
135;"NPR";"NPR";"NPR";1
136;"JPY";"JPY";"JPY";1
137;"MNT";"MNT";"MNT";1
138;"AOA";"AOA";"AOA";1
139;"PLN";"PLN";"PLN";1
140;"GBP";"GBP";"GBP";1
141;"SBD";"SBD";"SBD";1
142;"HUF";"HUF";"HUF";1
143;"BYR";"BYR";"BYR";1
144;"BIF";"BIF";"BIF";1
145;"MWK";"MWK";"MWK";1
146;"MGA";"MGA";"MGA";1
147;"XDR";"XDR";"XDR";1
148;"BZD";"BZD";"BZD";1
149;"BAM";"BAM";"BAM";1
150;"EGP";"EGP";"EGP";1
151;"MOP";"MOP";"MOP";1
152;"NAD";"NAD";"NAD";1
153;"NIO";"NIO";"NIO";1
154;"PEN";"PEN";"PEN";1
155;"NZD";"NZD";"NZD";1
156;"WST";"WST";"WST";1
157;"CLF";"CLF";"CLF";1
158;"BRL";"BRL";"BRL";1
